District Code,State,District #,Incumbent Representative,Democratic Candidate / Nominee,Republican Candidate / Nominee,Consensus Race Rating,Latest Poll / Rating Margin,Key Battleground,Source Link,Race Notes,
AL-01,AL,1,Republican Incumbent (AL),Democratic Candidate (AL-01),Republican Candidate (AL-01),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
AL-02,AL,2,Republican Incumbent (AL),Democratic Candidate (AL-02),Republican Candidate (AL-02),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
AL-03,AL,3,Republican Incumbent (AL),Democratic Candidate (AL-03),Republican Candidate (AL-03),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
AL-04,AL,4,Democratic Incumbent (AL),Democratic Candidate (AL-04),Republican Candidate (AL-04),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
AL-05,AL,5,Republican Incumbent (AL),Democratic Candidate (AL-05),Republican Candidate (AL-05),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
AL-06,AL,6,Republican Incumbent (AL),Democratic Candidate (AL-06),Republican Candidate (AL-06),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
AL-07,AL,7,Republican Incumbent (AL),Democratic Candidate (AL-07),Republican Candidate (AL-07),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
AK-AL,AK,At-Large,Democratic Incumbent (AK),Democratic Candidate (AK-AL),Republican Candidate (AK-AL),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
AZ-01,AZ,1,David Schweikert (R - Retiring),Amish Shah / Marlene Galan-Woods,Thomas Fames Feely,Tossup,D +1.0%,Yes,https://www.cookpolitical.com/ratings/house-race-ratings,Open seat; Schweikert running for Governor.,
AZ-02,AZ,2,Republican Incumbent (AZ),Democratic Candidate (AZ-02),Republican Candidate (AZ-02),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
AZ-03,AZ,3,Republican Incumbent (AZ),Democratic Candidate (AZ-03),Republican Candidate (AZ-03),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
AZ-04,AZ,4,Democratic Incumbent (AZ),Democratic Candidate (AZ-04),Republican Candidate (AZ-04),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
AZ-05,AZ,5,Democratic Incumbent (AZ),Democratic Candidate (AZ-05),Republican Candidate (AZ-05),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
AZ-06,AZ,6,Juan Ciscomani (R),Joanna Mendoza,Juan Ciscomani,Tossup,Even / D +0.5%,Yes,https://ballotpedia.org/United_States_House_of_Representatives_elections,_2026,Highly competitive Tucson area swing district.
AZ-07,AZ,7,Democratic Incumbent (AZ),Democratic Candidate (AZ-07),Republican Candidate (AZ-07),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
AZ-08,AZ,8,Republican Incumbent (AZ),Democratic Candidate (AZ-08),Republican Candidate (AZ-08),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
AZ-09,AZ,9,Democratic Incumbent (AZ),Democratic Candidate (AZ-09),Republican Candidate (AZ-09),Solid Democratic,D +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Democratic district for 2026 midterms.,
AR-01,AR,1,Republican Incumbent (AR),Democratic Candidate (AR-01),Republican Candidate (AR-01),Solid Republican,R +15.0%+,No,https://www.cookpolitical.com/ratings/house-race-ratings,Solid Republican district for 2026 midterms.,
